chr,phys,medchr,pos
1,109371,3,1.460000000000008
1,188180,3,0
1,236475,3,1.460000000000008
1,291054,3,1.460000000000008
1,426673,3,3.6500000000000057
1,445665,3,3.6500000000000057
1,482953,3,5.871999999999986
1,502693,3,8.094999999999999
1,536149,3,9.5660000000000025
1,630351,3,10.294999999999987
1,770810,3,11.025000000000006
1,770813,3,11.025000000000006
1,780015,3,11.754999999999995
1,852795,3,11.754999999999995
1,860956,3,11.754999999999995
1,880140,3,11.754999999999995
1,892496,3,11.754999999999995
1,950215,3,11.025000000000006
1,986723,3,15.516999999999996
1,998110,3,16.976
1,1004400,3,16.24599999999998
1,1025606,3,16.976
1,1090908,3,16.976
1,1164163,3,16.976
1,1168783,3,16.976
1,1194761,3,16.976
1,1254761,3,19.198999999999984
1,1294245,3,19.929000000000002
1,1294958,3,19.929000000000002
1,1296756,3,19.929000000000002
1,1316372,3,19.929000000000002
1,1325488,3,19.929000000000002
1,1342643,3,19.929000000000002
1,1364675,3,19.929000000000002
1,1389530,3,19.929000000000002
1,1389767,3,19.929000000000002
1,1394839,3,19.198999999999984
1,1448810,3,22.129999999999995
1,1453521,3,22.859999999999985
1,1487443,3,22.859999999999985
1,1494181,3,25.778999999999996
1,1530370,3,23.589
1,1531465,3,24.31899999999999
1,1615882,3,25.049000000000007
1,1616652,3,25.049000000000007
1,1672159,3,25.778999999999996
1,1672627,3,25.778999999999996
1,1733711,3,27.25
1,1767405,3,30.201999999999998
1,1802528,3,30.201999999999998
1,1816749,3,30.201999999999998
1,1820503,3,30.931999999999988
1,1844779,3,30.931999999999988
1,1982589,3,35.32300000000001
1,2012351,3,35.32300000000001
1,2012526,3,35.32300000000001
1,2084768,3,37.54499999999999
1,2127950,3,37.54499999999999
1,2133411,3,38.275000000000006
1,2202913,3,37.54499999999999
1,2217349,3,38.275000000000006
1,2236040,3,38.275000000000006
1,2256815,3,39.004999999999995
1,2261615,3,39.004999999999995
1,2284486,3,39.004999999999995
1,2402297,3,40.476
1,2407345,3,40.476
1,2434313,3,40.476
1,2494921,3,40.476
1,2520923,3,41.20599999999999
1,2654221,3,41.20599999999999
1,2719381,3,41.20599999999999
1,2911574,3,41.20599999999999
1,2972471,3,41.20599999999999
1,3077319,3,41.93600000000001
1,3080450,3,41.93600000000001
1,3089557,3,41.93600000000001
1,3093618,3,41.93600000000001
1,3096022,3,41.93600000000001
1,3143259,3,42.666
1,3201927,3,42.666
1,3300445,3,43.39599999999999
1,3332417,3,43.39599999999999
1,3377800,3,43.39599999999999
1,3445335,3,43.39599999999999
1,3452288,3,43.39599999999999
1,3506278,3,43.39599999999999
1,3526639,3,43.39599999999999
1,3629575,3,43.39599999999999
1,3683091,3,43.39599999999999
1,3709800,3,43.39599999999999
1,3726171,3,43.39599999999999
1,3760296,3,43.39599999999999
1,3817510,3,44.126000000000005
1,3861036,3,43.39599999999999
1,3957903,3,43.39599999999999
1,3983883,3,43.39599999999999
1,4032046,3,43.39599999999999
1,4038183,3,43.39599999999999
1,4309106,3,43.39599999999999
1,4321653,3,43.39599999999999
1,5100296,3,44.126000000000005
1,5140005,3,44.126000000000005
1,5238498,3,44.126000000000005
1,5278590,3,44.126000000000005
1,5513503,3,44.126000000000005
1,5518181,3,44.855999999999995
1,5687226,3,44.126000000000005
1,5754988,3,46.32599999999999
1,5840830,3,47.05599999999998
1,5847248,3,47.05599999999998
1,5851670,3,47.05599999999998
1,5904195,3,47.05599999999998
1,5906084,3,47.05599999999998
1,6067766,3,48.52699999999999
1,6140756,3,49.257000000000005
1,6184220,3,48.52699999999999
1,6298838,3,50.72800000000001
1,6321980,3,51.458
1,6398802,3,52.928
1,6480757,3,52.928
1,6526124,3,52.928
1,6595331,3,52.928
1,6640390,3,53.65799999999999
1,6734539,3,54.388000000000005
1,6757885,3,55.117999999999995
1,6822526,3,56.589
1,7007354,3,58.059
1,7085868,3,58.059
1,7096861,3,58.059
1,7098934,3,58.059
1,7104464,3,58.059
1,7154318,3,58.059
1,7161752,3,58.059
1,7175388,3,58.059
1,7193660,3,58.059
1,7228897,3,58.78899999999999
1,7299454,3,59.519000000000005
1,7304533,3,59.519000000000005
