population	type	chromosome	region	rate	newreg
F1	inversion	7	Inv-Adjacent	2.8	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	2.9	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	2.93	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	3.16	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	3.28	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	3.71	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	3.95	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	4	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	4.23	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	4.23	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	4.35	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	4.39	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	4.43	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	4.55	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	4.97	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	5.06	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	5.07	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	5.18	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	5.21	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	5.21	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	5.29	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	5.63	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	5.69	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	5.86	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	6.14	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	6.22	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	6.33	Inv-Adjacent
F1	inversion	7	Inv-Adjacent	6.4	Inv-Adjacent
