chr,phys,medchr,pos
1,14881,3,0
1,109371,3,0
1,185890,3,0
1,216052,3,0
1,291054,3,0.7299999999999898
1,311429,3,0.7299999999999898
1,398902,3,2.9199999999999875
1,445665,3,2.9199999999999875
1,486769,3,5.121000000000009
1,497839,3,4.390999999999991
1,504622,3,5.850999999999999
1,630351,3,8.073000000000008
1,660447,3,8.073000000000008
1,744803,3,11.058999999999997
1,768509,3,12.530000000000001
1,809478,3,13.259999999999991
1,828923,3,13.990000000000009
1,859679,3,13.990000000000009
1,863700,3,13.990000000000009
1,874774,3,13.990000000000009
1,878756,3,13.990000000000009
1,891203,3,13.990000000000009
1,903220,3,13.990000000000009
1,904883,3,13.990000000000009
1,908746,3,13.990000000000009
1,918182,3,13.990000000000009
1,950215,3,13.990000000000009
1,1025606,3,19.97399999999999
1,1082551,3,22.195999999999998
1,1101489,3,22.925999999999988
1,1164163,3,22.925999999999988
1,1180355,3,22.925999999999988
1,1294245,3,23.656000000000006
1,1294958,3,23.656000000000006
1,1298607,3,23.656000000000006
1,1309152,3,24.385999999999996
1,1316372,3,24.385999999999996
1,1317782,3,24.385999999999996
1,1323129,3,24.385999999999996
1,1341568,3,25.116000000000014
1,1374239,3,25.116000000000014
1,1389767,3,25.116000000000014
1,1394839,3,25.116000000000014
1,1475001,3,25.846000000000004
1,1531465,3,27.317000000000007
1,1616652,3,29.538999999999987
1,1689172,3,32.525000000000006
1,1719205,3,33.254999999999995
1,1771369,3,35.45599999999999
1,1820503,3,37.656000000000006
1,1898696,3,44.977000000000004
1,1953041,3,42.05799999999999
1,1953833,3,42.05799999999999
1,2009091,3,42.05799999999999
1,2017778,3,42.78800000000001
1,2023863,3,42.78800000000001
1,2107639,3,43.518
1,2133411,3,43.518
1,2140938,3,44.24799999999999
1,2142539,3,44.24799999999999
1,2143071,3,43.518
1,2194582,3,43.518
1,2248567,3,43.518
1,2407345,3,43.518
1,2493935,3,44.24799999999999
1,2494921,3,44.24799999999999
1,2520704,3,44.24799999999999
1,2540163,3,44.24799999999999
1,2612000,3,44.977000000000004
1,2646466,3,44.977000000000004
1,2654221,3,44.977000000000004
1,2734555,3,47.962999999999994
1,2880156,3,47.962999999999994
1,2927315,3,48.69300000000001
1,3096022,3,49.423
1,3153900,3,49.423
1,3183437,3,49.423
1,3201927,3,50.153000000000006
1,3228466,3,49.423
1,3377800,3,49.423
1,3387452,3,49.423
1,3393507,3,49.423
1,3505709,3,49.423
1,3506278,3,49.423
1,3526639,3,50.153000000000006
1,3619533,3,49.423
1,3670336,3,49.423
1,3683091,3,49.423
1,3709800,3,50.882999999999996
1,3902007,3,50.153000000000006
1,4272616,3,50.153000000000006
1,4353091,3,51.613
1,4583393,3,50.153000000000006
1,4639900,3,50.153000000000006
1,5100296,3,50.153000000000006
